current_date,Time,Temperature,Dew Point,Humidity,Wind,Wind speed,Wind Gust,Pressure,Precip,Condition
20220101,1:26 AM,51°„F,47°„F,86%,S,7mph,Nonemph,29.89in,0in,Cloudy
20220101,1:35 AM,51°„F,47°„F,86%,S,7mph,Nonemph,29.9in,0in,Cloudy
20220101,1:51 AM,51°„F,47°„F,86%,S,7mph,Nonemph,29.88in,0in,Cloudy
20220101,2:35 AM,51°„F,47°„F,86%,S,7mph,Nonemph,29.89in,0in,Cloudy
20220101,2:51 AM,51°„F,47°„F,86%,CALM,0mph,Nonemph,29.88in,0in,Cloudy
20220101,3:42 AM,51°„F,47°„F,86%,SE,7mph,Nonemph,29.89in,0in,Cloudy
20220101,3:51 AM,51°„F,47°„F,86%,SE,6mph,Nonemph,29.87in,0in,Cloudy
20220101,4:35 AM,51°„F,47°„F,86%,SSE,7mph,Nonemph,29.84in,0in,Cloudy
20220101,4:51 AM,51°„F,47°„F,86%,SSE,8mph,Nonemph,29.84in,0in,Cloudy
20220101,5:22 AM,51°„F,47°„F,86%,S,6mph,Nonemph,29.84in,0in,Fog
20220101,5:32 AM,50°„F,48°„F,93%,S,8mph,Nonemph,29.82in,0in,Fog
20220101,5:47 AM,50°„F,48°„F,94%,S,6mph,Nonemph,29.83in,0in,Fog
20220101,5:51 AM,50°„F,48°„F,93%,S,6mph,Nonemph,29.83in,0in,Fog
20220101,6:51 AM,51°„F,48°„F,89%,S,7mph,Nonemph,29.81in,0in,Fog
20220101,7:51 AM,51°„F,49°„F,92%,S,6mph,Nonemph,29.81in,0.0in,Cloudy
20220101,8:51 AM,51°„F,48°„F,89%,SE,6mph,Nonemph,29.81in,0.03in,Light Rain
20220101,9:51 AM,52°„F,49°„F,89%,S,10mph,Nonemph,29.8in,0.03in,Light Drizzle
20220101,10:51 AM,53°„F,50°„F,89%,SW,6mph,Nonemph,29.82in,0.01in,Light Rain
20220101,11:51 AM,54°„F,51°„F,90%,SSW,8mph,Nonemph,29.78in,0.02in,Light Rain
20220101,12:51 PM,55°„F,51°„F,86%,SW,6mph,Nonemph,29.75in,0.0in,Light Rain
20220101,1:51 PM,56°„F,52°„F,87%,SW,6mph,Nonemph,29.73in,0.02in,Light Rain
20220101,2:51 PM,56°„F,54°„F,93%,CALM,0mph,Nonemph,29.71in,0.0in,Light Drizzle
20220101,3:51 PM,57°„F,52°„F,83%,S,5mph,Nonemph,29.69in,0.0in,Cloudy
20220101,4:51 PM,57°„F,52°„F,83%,SSW,7mph,Nonemph,29.68in,0in,Cloudy
20220101,5:51 PM,56°„F,52°„F,87%,S,3mph,Nonemph,29.69in,0.0in,Light Rain
20220101,6:29 PM,56°„F,52°„F,87%,CALM,0mph,Nonemph,29.69in,0.01in,Light Rain
20220101,6:51 PM,55°„F,51°„F,86%,E,5mph,Nonemph,29.69in,0.01in,Light Rain
20220101,7:42 PM,54°„F,50°„F,86%,ENE,7mph,Nonemph,29.69in,0.03in,Light Rain
20220101,7:51 PM,53°„F,50°„F,89%,NE,9mph,Nonemph,29.69in,0.03in,Light Rain
20220101,8:02 PM,52°„F,49°„F,89%,ENE,8mph,Nonemph,29.68in,0.01in,Light Rain
20220101,8:25 PM,52°„F,49°„F,89%,NE,6mph,Nonemph,29.68in,0.02in,Light Rain
20220101,8:51 PM,52°„F,49°„F,89%,ENE,6mph,Nonemph,29.66in,0.05in,Light Rain
20220101,9:38 PM,52°„F,49°„F,89%,NE,7mph,Nonemph,29.65in,0.04in,Light Rain
20220101,9:51 PM,51°„F,48°„F,89%,ENE,8mph,Nonemph,29.64in,0.06in,Light Rain
20220101,10:51 PM,52°„F,50°„F,93%,NE,12mph,Nonemph,29.59in,0.1in,Rain
20220101,11:29 PM,52°„F,50°„F,93%,NE,8mph,Nonemph,29.6in,0.21in,Rain
20220101,11:51 PM,51°„F,49°„F,92%,ENE,10mph,Nonemph,29.57in,0.32in,Rain
20220101,12:51 AM,50°„F,48°„F,93%,NE,7mph,Nonemph,29.54in,0.08in,Light Rain
20220102,1:51 AM,50°„F,48°„F,93%,ENE,8mph,Nonemph,29.53in,0.02in,Light Rain
20220102,2:51 AM,49°„F,47°„F,93%,CALM,0mph,Nonemph,29.52in,0.0in,Fog
20220102,3:51 AM,50°„F,47°„F,89%,NNW,10mph,Nonemph,29.53in,0.0in,Fog
20220102,4:51 AM,52°„F,50°„F,93%,NW,7mph,Nonemph,29.53in,0in,Cloudy
20220102,5:51 AM,53°„F,51°„F,93%,CALM,0mph,Nonemph,29.52in,0in,Cloudy
