current_date,Time,Temperature,Dew Point,Humidity,Wind speed,Wind Gust,Pressure,Precip
20220101,01:51,51,47,86%,7mph,0mph,29.88in,0in
20220101,02:51,51,47,86%,0mph,0mph,29.88in,0in
20220101,03:51,51,47,86%,6mph,0mph,29.87in,0in
20220101,04:51,51,47,86%,8mph,0mph,29.84in,0in
20220101,05:51,50,48,93%,6mph,0mph,29.83in,0in
20220101,06:51,51,48,89%,7mph,0mph,29.81in,0in
20220101,07:51,51,49,92%,6mph,0mph,29.81in,0.0in
20220101,08:51,51,48,89%,6mph,0mph,29.81in,0.03in
20220101,09:51,52,49,89%,10mph,0mph,29.8in,0.03in
20220101,10:51,53,50,89%,6mph,0mph,29.82in,0.01in
20220101,11:51,54,51,90%,8mph,0mph,29.78in,0.02in
20220101,12:51,55,51,86%,6mph,0mph,29.75in,0.0in
20220101,13:51,56,52,87%,6mph,0mph,29.73in,0.02in
20220101,14:51,56,54,93%,0mph,0mph,29.71in,0.0in
20220101,15:51,57,52,83%,5mph,0mph,29.69in,0.0in
20220101,16:51,57,52,83%,7mph,0mph,29.68in,0in
20220101,17:51,56,52,87%,3mph,0mph,29.69in,0.0in
20220101,18:51,55,51,86%,5mph,0mph,29.69in,0.01in
20220101,19:51,53,50,89%,9mph,0mph,29.69in,0.03in
20220101,20:51,52,49,89%,6mph,0mph,29.66in,0.05in
20220101,21:51,51,48,89%,8mph,0mph,29.64in,0.06in
20220101,22:51,52,50,93%,12mph,0mph,29.59in,0.1in
20220101,23:51,51,49,92%,10mph,0mph,29.57in,0.32in
20220101,00:51,50,48,93%,7mph,0mph,29.54in,0.08in
20220102,01:51,50,48,93%,8mph,0mph,29.53in,0.02in
20220102,02:51,49,47,93%,0mph,0mph,29.52in,0.0in
20220102,03:51,50,47,89%,10mph,0mph,29.53in,0.0in
20220102,04:51,52,50,93%,7mph,0mph,29.53in,0in
20220102,05:51,53,51,93%,0mph,0mph,29.52in,0in
20220102,06:51,51,48,89%,7mph,0mph,29.55in,0.02in
20220102,07:51,52,50,93%,0mph,0mph,29.54in,0.0in
20220102,08:51,52,50,93%,0mph,0mph,29.55in,0in
20220102,09:51,54,51,90%,7mph,0mph,29.55in,0in
20220102,10:51,54,51,90%,8mph,0mph,29.58in,0in
20220102,11:51,54,51,90%,9mph,0mph,29.6in,0in
20220102,12:51,55,51,86%,10mph,0mph,29.57in,0in
20220102,13:51,58,51,78%,13mph,0mph,29.57in,0in
20220102,14:51,60,50,69%,10mph,0mph,29.59in,0in
20220102,15:51,54,47,77%,13mph,0mph,29.62in,0in
20220102,16:51,51,44,77%,7mph,0mph,29.67in,0in
20220102,17:51,51,43,74%,14mph,0mph,29.71in,0in
20220102,18:51,50,39,66%,18mph,0mph,29.77in,0in
20220102,19:51,47,36,66%,21mph,29mph,29.82in,0in
20220102,20:51,42,31,65%,18mph,0mph,29.88in,0in
20220102,21:51,40,29,65%,17mph,25mph,29.9in,0in
20220102,22:51,40,28,63%,13mph,0mph,29.93in,0in
20220102,23:51,40,30,68%,12mph,0mph,29.96in,0in
20220102,00:51,40,29,65%,9mph,0mph,29.98in,0in
20220103,01:51,39,27,62%,10mph,0mph,30.01in,0in
20220103,02:51,38,26,62%,12mph,0mph,30.06in,0in
20220103,03:51,37,24,59%,12mph,0mph,30.07in,0in
20220103,04:51,35,20,54%,17mph,0mph,30.05in,0in
20220103,05:51,34,19,54%,10mph,0mph,30.08in,0in
20220103,06:51,34,19,54%,12mph,0mph,30.1in,0in
20220103,07:51,33,20,59%,14mph,24mph,30.07in,0in
20220103,08:51,32,9,38%,20mph,25mph,30.1in,0in
20220103,09:51,31,8,38%,16mph,23mph,30.12in,0in
20220103,10:51,31,10,42%,16mph,23mph,30.13in,0in
20220103,11:51,30,10,43%,13mph,0mph,30.12in,0in
20220103,12:51,30,8,40%,13mph,0mph,30.07in,0in
20220103,13:51,30,9,41%,14mph,0mph,30.0in,0in
20220103,14:51,30,11,45%,16mph,22mph,30.0in,0in
20220103,15:51,29,14,54%,16mph,0mph,30.02in,0in
20220103,16:51,29,15,56%,15mph,29mph,30.03in,0in
20220103,17:51,29,12,49%,20mph,24mph,30.05in,0in
20220103,18:51,28,9,45%,17mph,24mph,30.09in,0in
